title,agency,date,links,标题,来信日期,信件内容,回复日期,回复单位,回复内容
开设老年助餐点,上海市杨浦区人民政府长海路街道办事处,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D866C2B9AA0E43A3BBB75816A6EE4D08,开设老年助餐点,2023-09-11,国和路三门路地段，周边15分钟生活圈没有一个老人食堂，不便于老人生活，建议建设老年食堂。,2023-10-11,上海市杨浦区人民政府长海路街道办事处,杨同志：您反映的信访事项已受理。经调查，现答复如下：经了解，街道服务办工作人员已和您介绍了目前长海路街道助餐方式：堂吃和送餐上门等服务。辖区内行动不便有助餐需求的老人到居委申请均可享受送餐上门服务。此外，目前翔殷路以北区域规划在建的老年食堂有二处：市光路611号和国和路968号。建成后，附近行动方便的老年人可自行前往，符合补贴条件的可按照规定享受优惠政策。感谢您的理解与支持！上海市杨浦区长海路街道办事处2023年9月25日
在市光片辖区内建造睦邻食堂,上海市杨浦区人民政府长海路街道办事处,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C71061AC1AD34203A576CA3A27EE7548,在市光片辖区内建造睦邻食堂,2023-09-11,北片辖区无睦邻食堂，在辖区内建造睦邻食堂，解决北片内老年群体的助餐服务需求。,2023-10-11,上海市杨浦区人民政府长海路街道办事处,王同志：您反映的信访事项已受理。经调查，现答复如下：经了解，目前长海路街道助餐服务有睦邻小厨堂吃和老年餐送餐上门服务。辖区内行动不便有助餐需求的老人可以到居委申请享受送餐上门服务。目前北片区规划在建的老年食堂有二处：市光路611号和国和路968号。建成后，附近行动方便的老年人可自行前往，符合补贴条件的可按规定享受优惠政策。上海市杨浦区长海路街道办事处2023年9月25日
建议增设杨浦区双辽支路夜间路边临时停车点,上海市杨浦区人民政府江浦路街道办事处,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7529C8BFA60144E7B892978DB5CF63E2,建议增设杨浦区双辽支路夜间路边临时停车点,2023-08-24,本人反映，目前杨浦区双辽支路附近小区内停车困难，小区内主干道两侧都停满了车。本人建议，增设双辽支路和双辽路的夜间路边临时停车，缓解小区停车难得问题。,2023-10-11,上海市杨浦区人民政府江浦路街道办事处,吴同志：您于2023年9月21日反映的信访事项收悉，该信访事项目前已处理完毕，现有关情况答复如下：街道相关职能部门与区交通部咨询该情况后，了解到双辽路及双辽支路由于路面狭窄，交通较繁忙，不适合设置临时停车位。感谢您对社区工作的支持和理解。上海市杨浦区人民政府江浦路街道办事处2023年9月21日
疏通民府路,上海市杨浦区人民政府长海路街道办事处,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=FA561CF6CF3342BCA967FFCB6DDF5D73,疏通民府路,2023-09-12,疏通民府路（闸殷路-市光路）区段，现在那里不能通汽车，不利于通过淞沪路地道由南向北方向车辆经过民府路向右转的通行，阻碍向东部疏散。,2023-10-11,上海市杨浦区人民政府长海路街道办事处,秦同志：您反映的信访事项已受理。经调查，现答复如下：经了解，民府路（闸殷路-市光路路段）为闸殷村内部通道非市政道路，属于动迁征收范围。该通道原先存在人员杂乱、车辆乱停放等问题，容易产生安全隐患，故区相关部门对该通道进行封闭管理，后续对该地块有统一规划方案。感谢您对长海路街道工作的关心、理解和支持。上海市杨浦区长海路街道办事处2023年10月9日
社区食堂,上海市杨浦区人民政府长海路街道办事处,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=66B01E1D968D455B88185A746263A838,社区食堂,2023-09-14,社区有不少高龄独居老人，一个人做饭不方便，希望在家附近有一个干净实惠的吃饭地方。社会化的餐厅对这些老人来说价格偏贵，量太大一顿吃不完。社区老年送餐服务，菜品单调无法选择，而且节假日没有送餐。故此希望政府能在社区周边置办一些社区食堂，方便老人就餐，解决老年人的燃眉之急。,2023-10-11,上海市杨浦区人民政府长海路街道办事处,程同志：您反映的信访事项已受理。经调查，现答复如下：经了解，目前长海路街道助餐服务有睦邻小厨堂吃和老年餐送餐上门服务。辖区内行动不便有助餐需求的老人可以到居委申请享受送餐上门服务。此外，工作人员介绍了离长三居委较近的盘山路食堂，在“15分钟养老生活圈”内，您可根据自己需要前往。感谢您的理解与支持！上海市杨浦区长海路街道办事处2023年9月26日
复旦二附校广播扰民,上海市杨浦区教育局,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EFB88E26A04D48CCAC13B6BCF65EB0D7,复旦二附校广播扰民,2023-09-27,"本人反映,复旦大学第二附属学校，位于凇沪路、绥芬河路，在早操、课间操时间，该校广播声音很大，且持续时间较长。本人认为,其噪音严重影响了周边居民的生活。本人要求,相关部门督促该校立即整改，还居民安静的生活环境。",2023-10-11,上海市杨浦区教育局,李同志：您好！您于2023年9月27日信访反映关于复旦二附校新江湾城校区广播扰民的事项收悉，教育局相关科室向复旦二附校反映核实相关情况，学校将加强广播管理，要求相关工作人员降低早操、课间操的广播音量，减少对周边居民的噪声影响，保障周边居民的休息。特此告知。上海市杨浦区教育局2023年9月27日
关于排烟管道问题,上海市浦东新区周浦镇人民政府,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E287BE14712E4A779D9F67BC3D18EEE6,关于排烟管道问题,2023-09-21,"本人反映,小区外部商业楼开办重油烟餐饮业务，装修期间在小区地库通道一侧安装烟道。本人认为,在小区外部开设餐饮业务，不仅需要得到小区内大部分业主同意，改造安装环节更需要合法合理施工，且商业楼本身无烟道的情况下，自行安装烟道的手续是否齐全，需要相关部门进行相关认定并公开。本人要求,小区外围商业楼经营的业务需经小区内居民认可同意后方可进场，对于目前已进场的商户进行排查相关手续是否合法合规，对未批先建的行为及时予以制止。",2023-10-11,上海市浦东新区周浦镇人民政府,简复告知书林同志：您好！您于2023年9月21日信访反映的事项收悉。经向周南社区中心了解：根据您的诉求，居委会联系了相关职能部门至现场查看，该商铺的营业执照和食品经营许可证正在办理中，其安装的油烟净化设施设备符合《上海市饮食服务业环境污染防治管理办法》规定要求，属于商户经营活动前正常准备工作。另外，根据现场测算，其油烟排放口位置距离居民住宅超过20米以上，符合餐饮服务经营场所油烟排放口应当距离居民住宅10米以上的要求。特此告知。上海市浦东新区周浦镇人民政府2023年9月25日
咨询某小学校长信箱,上海市徐汇区教育局,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2258C7B086F340B38FE2D48EE5285CF3,咨询某小学校长信箱,2023-09-28,"本人反映,某小学官网校长信箱已失效。本人认为,联系不到该校校长。本人要求,明确告知校长信箱，方便家长进行沟通。",2023-10-11,上海市徐汇区教育局,简复告知书周先生：您好！您于2023年09月28日信访反映的事项收悉。经查，我局工作人员已与您取得联系，并将该小学校长信箱电话告知您。特此告知。上海市徐汇区教育局2023年10月7日
请政府推进商品房平改坡,上海市徐汇区人民政府枫林路街道办事处,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1F0AFFFEAFF3479095B97CD4531DFC2D,请政府推进商品房平改坡,2023-09-19,东安花苑多层住宅楼是总高7楼的楼梯房，是97-98年的商品房。由于年久失修，楼顶漏水噪音隔热保暖性能问题突出，但平改坡项目费用巨大，住户的维修基金无法启动平改坡项目。东安花苑地处徐汇滨江和内环边核心地带，居住环境十分影响市容市貌。恳请政府对商品房的平改坡问题予以支持。,2023-10-11,上海市徐汇区人民政府枫林路街道办事处,陈**同志：您所提的建议本机关已受理。经研究，现答复如下：您建议推进东安花苑平改坡。经查，徐汇区东安花苑小区为商品房小区，目前由华而萌泰物业管理。您所述的“平改坡”为旧住房综合改造项目，依据上海市房屋管理局、上海市规划和自然资源局关于印发《上海市旧住房综合改造管理办法》的通知（沪房规范〔2020〕2号），区房屋管理部门负责本辖区内旧住房综合改造项目实施的具体管理。在区房屋管理部门暂时未将徐汇区东安花苑列入旧住房综合改造项目的情况下，依据相关法律法规，建议徐汇区东安花苑小区业主可自筹资金进行房屋修缮等工作。感谢您对枫林街道工作的关心、理解和支持。特此告知。上海市徐汇区人民政府枫林路街道办事处2023年10月11日
中学扰民,上海市徐汇区教育局,2023-10-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E4D5DAC476E242CD9640F74AC26C8D27,中学扰民,2023-09-19,本人反映，我是某中学周边居民，该校高音喇叭声音太响。本人认为，该校噪音严重扰民。本人要求，该校立即整改。,2023-10-11,上海市徐汇区教育局,陈先生：       您反映的信访事项本机关已受理。经研究，现答复如下：       您反映某中学存在噪音扰民情况，要求该校立即整改。       经查，该校高度重视您反映的问题，已结合正常教学实际需求调整广播音量大小，对于前期给您带来的困扰深表歉意。      感谢您对徐汇教育工作的关心、理解和支持。上海市徐汇区教育局2023年10月7日
